time_s,avg_temp_K,max_temp_K,min_temp_K,sensor_0_K,sensor_0_err_K,sensor_1_K,sensor_1_err_K,sensor_2_K,sensor_2_err_K,sensor_3_K,sensor_3_err_K,sensor_4_K,sensor_4_err_K,sensor_5_K,sensor_5_err_K,sensor_6_K,sensor_6_err_K,sensor_7_K,sensor_7_err_K,sensor_8_K,sensor_8_err_K,sensor_9_K,sensor_9_err_K,sensor_10_K,sensor_10_err_K,sensor_11_K,sensor_11_err_K,sensor_12_K,sensor_12_err_K,sensor_13_K,sensor_13_err_K,sensor_14_K,sensor_14_err_K,sensor_15_K,sensor_15_err_K,sensor_16_K,sensor_16_err_K,sensor_17_K,sensor_17_err_K,sensor_18_K,sensor_18_err_K,sensor_19_K,sensor_19_err_K,sensor_20_K,sensor_20_err_K,sensor_21_K,sensor_21_err_K,sensor_22_K,sensor_22_err_K,sensor_23_K,sensor_23_err_K,sensor_24_K,sensor_24_err_K,sensor_25_K,sensor_25_err_K,sensor_26_K,sensor_26_err_K,sensor_27_K,sensor_27_err_K,sensor_28_K,sensor_28_err_K,sensor_29_K,sensor_29_err_K,sensor_30_K,sensor_30_err_K,sensor_31_K,sensor_31_err_K,sensor_32_K,sensor_32_err_K,sensor_33_K,sensor_33_err_K,sensor_34_K,sensor_34_err_K,sensor_35_K,sensor_35_err_K,sensor_36_K,sensor_36_err_K,sensor_37_K,sensor_37_err_K,sensor_38_K,sensor_38_err_K,sensor_39_K,sensor_39_err_K,sensor_40_K,sensor_40_err_K,sensor_41_K,sensor_41_err_K,sensor_42_K,sensor_42_err_K,sensor_43_K,sensor_43_err_K,sensor_44_K,sensor_44_err_K,sensor_45_K,sensor_45_err_K,sensor_46_K,sensor_46_err_K,sensor_47_K,sensor_47_err_K,sensor_48_K,sensor_48_err_K,sensor_49_K,sensor_49_err_K,sensor_50_K,sensor_50_err_K,sensor_51_K,sensor_51_err_K,sensor_52_K,sensor_52_err_K,sensor_53_K,sensor_53_err_K,sensor_54_K,sensor_54_err_K,sensor_55_K,sensor_55_err_K,sensor_56_K,sensor_56_err_K,sensor_57_K,sensor_57_err_K,sensor_58_K,sensor_58_err_K,sensor_59_K,sensor_59_err_K,sensor_60_K,sensor_60_err_K,sensor_61_K,sensor_61_err_K,sensor_62_K,sensor_62_err_K,sensor_63_K,sensor_63_err_K,sensor_64_K,sensor_64_err_K,sensor_65_K,sensor_65_err_K,sensor_66_K,sensor_66_err_K,sensor_67_K,sensor_67_err_K,sensor_68_K,sensor_68_err_K,sensor_69_K,sensor_69_err_K,sensor_70_K,sensor_70_err_K,sensor_71_K,sensor_71_err_K,rms_tracking_error_K,cryo_tip_K,power_in_W,power_out_W,radiation_W,energy_drift_rel
1,296.128,350.105,81.9319,293.15,-2.27374e-13,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-3.97904e-13,293.15,-2.27374e-13,293.15,-2.84217e-13,293.15,-1.7053e-13,293.15,0,293.15,-2.84217e-13,293.15,-2.84217e-13,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-2.84217e-13,293.15,-2.27374e-13,293.15,-5.68434e-14,293.15,0,293.15,-2.27374e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-4.54747e-13,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-2.27374e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.46922e-13,271.354,2.93638e-06,177.433,-63.0144,0.0684988
2,296.118,350.034,116.579,293.15,-4.54747e-13,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-8.52651e-13,293.15,-5.11591e-13,293.15,-6.25278e-13,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-13,293.15,-5.11591e-13,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-7.95808e-13,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-4.54747e-13,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-5.11591e-13,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,2.48227e-13,243.697,0.00033672,168.688,-63.4506,0.0628511
3,296.111,349.815,67.7386,293.15,-6.82121e-13,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-1.19371e-12,293.15,-5.68434e-13,293.15,-9.09495e-13,293.15,-1.7053e-13,293.15,0,293.15,-7.95808e-13,293.15,-7.95808e-13,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-1.13687e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-6.82121e-13,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-7.38964e-13,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,3.28596e-13,225.142,0.00244377,152.454,-64.0916,0.0284164
4,296.104,349.352,55.1414,293.15,-9.09495e-13,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-1.59162e-12,293.15,-5.68434e-13,293.15,-1.19371e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-1.13687e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-1.53477e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-9.09495e-13,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-9.66338e-13,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,4.20443e-13,212.255,0.0067232,138.532,-64.7303,0.0174045
5,296.099,348.641,54.4293,293.15,-1.13687e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-1.93268e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-1.47793e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-1.81899e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,4.96816e-13,202.447,0.0122509,132.488,-65.3135,0.0167273
6,296.094,347.723,53.4883,293.15,-1.36424e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-2.27374e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-1.76215e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-2.10321e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-1.53477e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,5.63638e-13,194.612,0.0180317,128.815,-65.8285,0.0154115
7,296.089,346.659,52.8643,293.15,-1.59162e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-2.67164e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.04636e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-2.44427e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-1.93268e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,6.40383e-13,188.081,0.0234193,125.36,-66.2747,0.0138993
8,296.084,345.498,52.2685,293.15,-1.81899e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-3.06954e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.27374e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-2.78533e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-2.16005e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,7.09879e-13,182.487,0.0280459,122.238,-66.6562,0.0130681
9,296.08,344.289,51.7404,293.15,-2.04636e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-3.46745e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-3.12639e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-2.38742e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,7.80836e-13,177.6,0.0317143,119.472,-66.9783,
10,296.075,343.068,51.2558,293.15,-2.27374e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-3.86535e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-3.46745e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-2.6148e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,8.43151e-13,173.254,0.0351572,116.919,-67.2466,
